otuid,m3n702s518,m3n702s520,m3n702s521,m3n703s520,m3n703s521,m3n703s522,m3n704s513,m3n704s515,m3n704s516,m3n704s517,m3n704s518,m3n702s522,m3n703s513,m3n704s520,m3n704s521,m3n704s522,m3n705s513,m3n705s515,m3n705s516,m3n703s515,m3n705s517,m3n703s516,m3n703s517,m3n705s518,m3n705s520,m3n705s521,m3n705s522,m3n706s513,m3n706s515
otu101,0,0,0,0,0,0,0,0,0,0,16248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu102,0,0,0,0,0,0,0,0,0,0,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu103,0,0,0,6428,6344,5362,0,6744,0,87,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu104,0,0,0,0,26962,6900,3595,19134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468
otu106,0,0,0,8430,0,0,891,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,1783,0,0,0,0,5950
otu107,0,0,0,1714,0,0,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu108,0,0,0,1186,4405,2635,0,15272,0,0,19999,0,0,0,0,4897,0,0,0,0,13300,0,0,0,1112,554,0,887,0
otu109,0,0,0,717,78,0,0,414,0,0,0,0,0,0,25012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu110,0,0,0,729,0,514,0,397,0,0,925,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0
otu111,0,0,0,91870,26039,29619,7222,30819,0,447276,0,0,0,0,0,25904,4043,0,0,0,5442,0,0,22376,24726,8943,140,119316,7821
otu112,0,0,0,191,0,0,0,0,0,0,0,0,0,0,146604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu114,0,0,0,0,0,44782,0,0,0,0,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu115,0,0,0,0,0,160,0,0,0,0,0,0,0,0,42182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72354,3011,0,0,0,0,0,0,0,0,0,0,0,0,0
otu117,0,0,0,0,0,90418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18904
otu119,0,0,0,2687000,2553772,2990450,3420676,4061674,15950,3418191,0,154371,0,2523012,0,1231973,740456,0,358240,4445,154521,0,0,343845,2663402,813980,559282,579872,353662
otu120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu123,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu124,0,0,0,0,0,2371,0,0,0,0,271380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu125,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547,0,0,0,0,0
