otuid,Domain,Phylum,Class,Order,Family,Genus,Species
otu1001,a,a,a,a,a,a,Acidaminococcus intestini
otu1002,a,a,a,a,a,a,Actinomyces hongkongensis
otu1003,a,a,a,a,a,a,Actinomyces ihumii/radingae
otu1004,a,a,a,a,a,a,Aerococcus christensenii
otu1005,a,a,a,a,a,a,Anaerococcus lactolyticus
otu1006,a,a,a,a,a,a,Anaerococcus mediterraneensis
otu1007,a,a,a,a,a,a,Anaerococcus prevotii/tetradius
otu1008,a,a,a,a,a,a,Anaerococcus vaginalis
otu1009,a,a,a,a,a,a,Arcanobacterium
otu1010,a,a,a,a,a,a,Atopobium minutum
otu1011,a,a,a,a,a,a,Atopobium vaginae
otu1012,a,a,a,a,a,a,Bacteroides faecis
otu1013,a,a,a,a,a,a,Bacteroides fragilis
otu1014,a,a,a,a,a,a,Bacteroides stercoris
otu1015,a,a,a,a,a,a,Bacteroides thetaiotaomicron
otu1016,a,a,a,a,a,a,Bacteroides vulgatus
otu1017,a,a,a,a,a,a,Bifidobacterium dentium
otu1018,a,a,a,a,a,a,Bilophila wadsworthia
otu1019,a,a,a,a,a,a,Bulleidia
otu1020,a,a,a,a,a,a,BVAB1 (species)
otu1021,a,a,a,a,a,a,BVAB2 (species)
otu1022,a,a,a,a,a,a,Campylobacter ureolyticus
otu1023,a,a,a,a,a,a,Candidate Division TM7 vaginal (genus)
otu1024,a,a,a,a,a,a,Clostridium
otu1025,a,a,a,a,a,a,Dialister invisus
otu1026,a,a,a,a,a,a,Dialister micraerophilus
otu1027,a,a,a,a,a,a,Dialister pneumosintes
otu1028,a,a,a,a,a,a,Dialister propionicifaciens
otu1029,a,a,a,a,a,a,Dialister sp. type 2
otu1030,a,a,a,a,a,a,Eggerthella sp. type 1 (species)
otu1031,a,a,a,a,a,a,Enterococcus faecalis
otu1032,a,a,a,a,a,a,Escherichia coli
otu1033,a,a,a,a,a,a,Eubacterium
otu1034,a,a,a,a,a,a,Ezakiella
otu1035,a,a,a,a,a,a,Faecalibacterium prausnitzii
otu1036,a,a,a,a,a,a,Fenollaria
otu1037,a,a,a,a,a,a,Fenollaria massiliensis/timonensis
otu1038,a,a,a,a,a,a,Finegoldia magna
otu1039,a,a,a,a,a,a,Fusobacterium equinum/gonidiaformans
otu1040,a,a,a,a,a,a,Fusobacterium nucleatum
otu1041,a,a,a,a,a,a,Gardnerella vaginalis
otu1042,a,a,a,a,a,a,Gemella asaccharolytica
otu1043,a,a,a,a,a,a,Gemella haemolysans/sanguinis
otu1044,a,a,a,a,a,a,Granulicatella elegans
otu1045,a,a,a,a,a,a,Haemophilus haemolyticus
otu1046,a,a,a,a,a,a,Haemophilus parahaemolyticus
otu1047,a,a,a,a,a,a,Haemophilus parainfluenzae
otu1048,a,a,a,a,a,a,Howardella
otu1049,a,a,a,a,a,a,Lachnospiraceae
otu1050,a,a,a,a,a,a,Lactobacillus coleohominis
otu1051,a,a,a,a,a,a,Lactobacillus crispatus
otu1052,a,a,a,a,a,a,Lactobacillus gasseri/johnsonii
otu1053,a,a,a,a,a,a,Lactobacillus iners
otu1054,a,a,a,a,a,a,Lactobacillus jensenii
otu1055,a,a,a,a,a,a,Lactobacillus reuteri/vaginalis
otu1056,a,a,a,a,a,a,Lactobacillus vaginalis
otu1057,a,a,a,a,a,a,Lawsonella
otu1058,a,a,a,a,a,a,Mageeibacillus indolicus
otu1059,a,a,a,a,a,a,Megasphaera
otu1060,a,a,a,a,a,a,Megasphaera genomosp. type_1
otu1061,a,a,a,a,a,a,Megasphaera massiliensis
