otuid,Domain,Phylum,Class,Order,Family,Genus,Species
otu101,a,a,a,a,a,a,Actinobaculum massiliense
otu102,a,a,a,a,a,a,Actinomyces neuii
otu103,a,a,a,a,a,a,Actinomyces turicensis
otu104,a,a,a,a,a,a,Actinomyces urogenitalis
otu105,a,a,a,a,a,a,Aggregatibacter aphrophilus
otu106,a,a,a,a,a,a,Alloprevotella unclassified
otu107,a,a,a,a,a,a,Anaerococcus hydrogenalis
otu108,a,a,a,a,a,a,Anaerococcus lactolyticus
otu109,a,a,a,a,a,a,Anaerococcus obesiensis
otu110,a,a,a,a,a,a,Anaerococcus prevotii
otu111,a,a,a,a,a,a,Anaerococcus tetradius
otu112,a,a,a,a,a,a,Anaerococcus vaginalis
otu113,a,a,a,a,a,a,Anaerostipes unclassified
otu114,a,a,a,a,a,a,Atopobium minutum
otu115,a,a,a,a,a,a,Atopobium parvulum
otu116,a,a,a,a,a,a,Atopobium rimae
otu117,a,a,a,a,a,a,Atopobium sp BV3Ac4
otu118,a,a,a,a,a,a,Atopobium sp oral taxon 199
otu119,a,a,a,a,a,a,Atopobium vaginae
otu120,a,a,a,a,a,a,Bacteroides faecis
otu121,a,a,a,a,a,a,Bacteroides stercoris
otu122,a,a,a,a,a,a,Bacteroides uniformis
otu123,a,a,a,a,a,a,Bifidobacterium adolescentis
otu124,a,a,a,a,a,a,Bifidobacterium bifidum
otu125,a,a,a,a,a,a,Bifidobacterium breve
otu126,a,a,a,a,a,a,Bifidobacterium dentium
otu127,a,a,a,a,a,a,Bifidobacterium longum
otu128,a,a,a,a,a,a,Bilophila unclassified
otu129,a,a,a,a,a,a,Bilophila wadsworthia
otu130,a,a,a,a,a,a,Brucella microti
otu131,a,a,a,a,a,a,Bulleidia extructa
otu132,a,a,a,a,a,a,Campylobacter ureolyticus
otu133,a,a,a,a,a,a,Catonella morbi
otu134,a,a,a,a,a,a,Clostridiales bacterium BV3C26
otu135,a,a,a,a,a,a,Clostridiales genomosp BVAB3
otu136,a,a,a,a,a,a,Clostridium hathewayi
otu137,a,a,a,a,a,a,Coriobacteriaceae bacterium BV3Ac1
otu138,a,a,a,a,a,a,Corynebacterium pyruviciproducens
otu139,a,a,a,a,a,a,Dialister invisus
otu140,a,a,a,a,a,a,Dialister micraerophilus
otu141,a,a,a,a,a,a,Enterococcus faecalis
otu142,a,a,a,a,a,a,Escherichia coli
otu143,a,a,a,a,a,a,Escherichia unclassified
otu144,a,a,a,a,a,a,Eubacterium brachy
otu145,a,a,a,a,a,a,Eubacterium infirmum
otu146,a,a,a,a,a,a,Filifactor alocis
otu147,a,a,a,a,a,a,Finegoldia magna
otu148,a,a,a,a,a,a,Fusobacterium gonidiaformans
otu149,a,a,a,a,a,a,Fusobacterium nucleatum
otu150,a,a,a,a,a,a,Gardnerella vaginalis
otu151,a,a,a,a,a,a,Gemella haemolysans
otu152,a,a,a,a,a,a,Gemella unclassified
otu153,a,a,a,a,a,a,Granulicatella elegans
otu154,a,a,a,a,a,a,Granulicatella unclassified
otu155,a,a,a,a,a,a,Haemophilus haemolyticus
otu156,a,a,a,a,a,a,Haemophilus influenzae
otu157,a,a,a,a,a,a,Lactobacillus coleohominis
otu158,a,a,a,a,a,a,Lactobacillus crispatus
otu159,a,a,a,a,a,a,Lactobacillus iners
otu160,a,a,a,a,a,a,Lactobacillus jensenii
otu161,a,a,a,a,a,a,Lactobacillus sp 7 1 47FAA
otu162,a,a,a,a,a,a,Lactobacillus vaginalis
otu163,a,a,a,a,a,a,Megasphaera genomosp type 1
otu164,a,a,a,a,a,a,Megasphaera micronuciformis
otu165,a,a,a,a,a,a,Megasphaera sp UPII 135 E
otu166,a,a,a,a,a,a,Megasphaera sp UPII 199 6
otu167,a,a,a,a,a,a,Megasphaera unclassified
otu168,a,a,a,a,a,a,Mitsuokella unclassified
otu169,a,a,a,a,a,a,Mobiluncus curtisii
otu170,a,a,a,a,a,a,Mobiluncus mulieris
otu171,a,a,a,a,a,a,Mobiluncus unclassified
otu172,a,a,a,a,a,a,Mycoplasma hominis
otu173,a,a,a,a,a,a,Olsenella unclassified
otu174,a,a,a,a,a,a,Oribacterium sp oral taxon 078
otu175,a,a,a,a,a,a,Parvimonas micra
otu176,a,a,a,a,a,a,Parvimonas unclassified
otu177,a,a,a,a,a,a,Peptoniphilus duerdenii
otu178,a,a,a,a,a,a,Peptoniphilus harei
otu179,a,a,a,a,a,a,Peptoniphilus lacrimalis
otu180,a,a,a,a,a,a,Peptostreptococcaceae noname unclassified
otu181,a,a,a,a,a,a,Peptostreptococcus anaerobius
otu182,a,a,a,a,a,a,Peptostreptococcus stomatis
otu183,a,a,a,a,a,a,Peptostreptococcus unclassified
otu184,a,a,a,a,a,a,Porphyromonas asaccharolytica
otu185,a,a,a,a,a,a,Porphyromonas bennonis
otu186,a,a,a,a,a,a,Porphyromonas endodontalis
otu187,a,a,a,a,a,a,Porphyromonas somerae
otu188,a,a,a,a,a,a,Porphyromonas uenonis
otu189,a,a,a,a,a,a,Prevotella amnii
otu190,a,a,a,a,a,a,Prevotella bergensis
otu191,a,a,a,a,a,a,Prevotella bivia
otu192,a,a,a,a,a,a,Prevotella buccalis
otu193,a,a,a,a,a,a,Prevotella denticola
otu194,a,a,a,a,a,a,Prevotella disiens
otu195,a,a,a,a,a,a,Prevotella histicola
otu196,a,a,a,a,a,a,Prevotella intermedia
otu197,a,a,a,a,a,a,Prevotella melaninogenica
otu198,a,a,a,a,a,a,Prevotella nigrescens
otu199,a,a,a,a,a,a,Prevotella oris
otu200,a,a,a,a,a,a,Prevotella sp BV3P1
otu201,a,a,a,a,a,a,Prevotella timonensis
otu202,a,a,a,a,a,a,Propionibacterium acnes
otu203,a,a,a,a,a,a,Pseudoramibacter alactolyticus
otu204,a,a,a,a,a,a,Ruminococcus gnavus
otu205,a,a,a,a,a,a,Shigella sonnei
otu206,a,a,a,a,a,a,Shuttleworthia satelles
otu207,a,a,a,a,a,a,Slackia exigua
otu208,a,a,a,a,a,a,Slackia unclassified
otu209,a,a,a,a,a,a,Solobacterium moorei
otu210,a,a,a,a,a,a,Staphylococcus epidermidis
otu211,a,a,a,a,a,a,Stomatobaculum longum
otu212,a,a,a,a,a,a,Streptococcus agalactiae
otu213,a,a,a,a,a,a,Streptococcus anginosus
otu214,a,a,a,a,a,a,Streptococcus constellatus
otu215,a,a,a,a,a,a,Streptococcus intermedius
otu216,a,a,a,a,a,a,Streptococcus mitis oralis pneumoniae
otu217,a,a,a,a,a,a,Streptococcus parasanguinis
otu218,a,a,a,a,a,a,Streptococcus peroris
otu219,a,a,a,a,a,a,Streptococcus salivarius
otu220,a,a,a,a,a,a,Streptococcus vestibularis
otu221,a,a,a,a,a,a,Subdoligranulum unclassified
otu222,a,a,a,a,a,a,Sutterella wadsworthensis
otu223,a,a,a,a,a,a,Ureaplasma parvum
otu224,a,a,a,a,a,a,Ureaplasma unclassified
otu225,a,a,a,a,a,a,Ureaplasma urealyticum
otu226,a,a,a,a,a,a,Varibaculum cambriense
otu227,a,a,a,a,a,a,Veillonella atypica
otu228,a,a,a,a,a,a,Veillonella dispar
