cpuHrs,db
15588.928,Global
15381.8,Global
15440.967,Global
15953.123,Global
15466.4,Global
15619.367,Global
166.667,16S_Pooled
150.933,16S_Pooled
170.4,16S_Pooled
168,16S_Pooled
154.133,16S_Pooled
168.267,16S_Pooled
29.067,16S_Sample-Matched
48,16S_Sample-Matched
35.2,16S_Sample-Matched
21.6,16S_Sample-Matched
33.6,16S_Sample-Matched
16.8,16S_Sample-Matched
69.072,Shotgun_Pooled
57.6,Shotgun_Pooled
59.2,Shotgun_Pooled
67.413,Shotgun_Pooled
68,Shotgun_Pooled
67.995,Shotgun_Pooled
26.395,Shotgun_Sample-Matched
23.733,Shotgun_Sample-Matched
17.595,Shotgun_Sample-Matched
19.195,Shotgun_Sample-Matched
19.995,Shotgun_Sample-Matched
15.467,Shotgun_Sample-Matched
33.333,Hybrid_Sample-Matched
53.867,Hybrid_Sample-Matched
36.8,Hybrid_Sample-Matched
18.667,Hybrid_Sample-Matched
35.734,Hybrid_Sample-Matched
14.666,Hybrid_Sample-Matched
