Gardnerella vaginalis,302092
Actinomyces hongkongensis,29105
Actinomyces ihumii,37747
Actinomyces radingae,36718
Aerococcus christensenii,39927
Anaerococcus lactolyticus,51547
Anaerococcus mediterraneensis,35990
Anaerococcus prevotii,91968
Anaerococcus vaginalis,53914
Arcanobacterium haemolyticum,72903
Atopobium minutum,30803
Bacteroides faecis,182454
Bacteroides stercoris,354019
Bacteroides thetaiotaomicron,429444
Bifidobacterium dentium,66544
Bilophila wadsworthia,86381
Bulleidia extructa,25915
Campylobacter ureolyticus,66705
Clostridium leptum,78960
Dialister micraerophilus,33537
Dialister sp,25647
Eggerthella like,28002
Escherichia coli,239435
Eubacterium sp,1440037
Ezakiella massiliensis,30818
Fannyhessea vaginae,64493
Fenollaria massiliensis,30785
Fenollaria timonensis,30508
Finegoldia magna,143945
Fusobacterium nucleatum,271703
Gemella asaccharolytica,25361
Gemella haemolysans,61586
Haemophilus haemolyticus,228743
Lachnocurva vaginae,59537
Lactobacillus coleohominis,30909
Lactobacillus crispatus,161269
Lactobacillus iners,49289
Lactobacillus jensenii,60333
Lactobacillus reuteri,224625
Lactobacillus vaginalis,34541
Lawsonella clevelandensis,32905
Mageeibacillus indolicus,39324
Megasphaera hutchinsoni,26532
Megasphaera lornae,282553
Megasphaera micronuciformis,33428
Mobiluncus curtisii,50048
Mobiluncus holmesii,67221
Mobiluncus mulieris,61567
Murdochiella vaginalis,28572
Mycoplasma hominis,28955
Oscillibacter ruminantium,51030
Parvimonas micra,50490
Peptococcus niger,40676
Peptoniphilus grossensis,63114
Peptoniphilus lacrimalis,78175
Peptostreptococcus anaerobius,88795
Peptostreptococcus stomatis,35730
Porphyromonas endodontalis,37445
Porphyromonas sp,300206
Porphyromonas uenonis,56903
Prevotella amnii,64185
Prevotella bergensis,59265
Prevotella bivia,73348
Prevotella buccalis,103590
Prevotella colorans,51752
Prevotella disiens,73555
Prevotella intermedia,175427
Prevotella timonensis,111532
Sneathia sanguinegens,28384
Sneathia vaginalis,25014
Streptococcus agalactiae,86088
Streptococcus anginosus,155874
Streptococcus mitis,305426
Streptococcus pseudopneumoniae,265088
Streptococcus salivarius,171454
Sutterella sp,213965
Sutterella wadsworthensis,105214
TM7 H1,25232
Ureaplasma parvum,17737
Veillonella atypica,72361
Veillonella montpellierensis,40454
Dialister propionicifaciens,29
