Gardnerella vaginalis,279569
Actinomyces hongkongensis,29105
Actinomyces ihumii,37747
Actinomyces radingae,36718
Aerococcus christensenii,34845
Anaerococcus lactolyticus,46233
Anaerococcus mediterraneensis,35864
Anaerococcus prevotii,91751
Anaerococcus vaginalis,53609
Arcanobacterium haemolyticum,72858
Atopobium minutum,30771
Bacteroides faecis,182396
Bacteroides stercoris,353180
Bacteroides thetaiotaomicron,429341
Bifidobacterium dentium,66425
Bilophila wadsworthia,85187
Bulleidia extructa,25081
Campylobacter ureolyticus,64031
Clostridium leptum,78960
Dialister micraerophilus,28591
Dialister sp,25647
Eggerthella like,28002
Escherichia coli,239411
Eubacterium sp,1440037
Ezakiella massiliensis,30804
Fannyhessea vaginae,53575
Fenollaria massiliensis,30527
Fenollaria timonensis,30367
Finegoldia magna,141742
Fusobacterium nucleatum,271409
Gemella asaccharolytica,22043
Gemella haemolysans,61335
Haemophilus haemolyticus,228634
Lachnocurva vaginae,29078
Lactobacillus coleohominis,26944
Lactobacillus crispatus,161038
Lactobacillus iners,46215
Lactobacillus jensenii,59026
Lactobacillus reuteri,224482
Lactobacillus vaginalis,34502
Lawsonella clevelandensis,31772
Mageeibacillus indolicus,36130
Megasphaera hutchinsoni,26039
Megasphaera lornae,281174
Megasphaera micronuciformis,30106
Mobiluncus curtisii,48633
Mobiluncus holmesii,67014
Mobiluncus mulieris,58501
Murdochiella vaginalis,28511
Mycoplasma hominis,27016
Oscillibacter ruminantium,48341
Parvimonas micra,50271
Peptococcus niger,32495
Peptoniphilus grossensis,62882
Peptoniphilus lacrimalis,76027
Peptostreptococcus anaerobius,85515
Peptostreptococcus stomatis,34025
Porphyromonas endodontalis,35552
Porphyromonas sp,300206
Porphyromonas uenonis,50070
Prevotella amnii,60768
Prevotella bergensis,53051
Prevotella bivia,70861
Prevotella buccalis,99609
Prevotella colorans,48030
Prevotella disiens,70821
Prevotella intermedia,174006
Prevotella timonensis,103311
Sneathia sanguinegens,24295
Sneathia vaginalis,25014
Streptococcus agalactiae,85433
Streptococcus anginosus,155418
Streptococcus mitis,304977
Streptococcus pseudopneumoniae,265073
Streptococcus salivarius,171431
Sutterella sp,213965
Sutterella wadsworthensis,99732
TM7 H1,25232
Ureaplasma parvum,17446
Veillonella atypica,72348
Veillonella montpellierensis,35678
Dialister propionicifaciens,29
