taxa,sample,abundance
Lactobacillus iners,1284,83.34480978
Lactobacillus jensenii,1284,15.86761921
Lactobacillus coleohominis,1284,0.413152006
Lactobacillus crispatus,1284,0.374419005
Lactobacillus crispatus,1289,99.23818
Lactobacillus iners,1289,0.388098
Lactobacillus reuteri,1289,0.158114
Lactobacillus vaginalis,1289,0.158114
Lactobacillus jensenii,1289,0.153323
Lactobacillus crispatus,1290,99.842
Lactobacillus jensenii,1290,0.111916
Gardnerella vaginalis,1292,31.26716359
Prevotella bivia,1292,14.09516337
Fannyhessea vaginae,1292,7.434287956
Megasphaera lornae,1292,7.409067982
Lactobacillus iners,1292,6.276971361
Lachnocurva vaginae,1292,6.167684806
Prevotella genomogroup3,1292,3.07123
Parvimonas micra,1292,3.037605784
Dialister propionicifaciens,1292,2.292215435
Dialister sp,1292,2.196939976
Eggerthella like,1292,2.056829009
Peptostreptococcus anaerobius,1292,2.00638906
Sneathia vaginalis,1292,1.866278092
Prevotella disiens,1292,1.555231744
Mycoplasma hominis,1292,1.52720955
Dialister micraerophilus,1292,1.168525472
BVAB2,1292,1.13489884
Lachnospiraceae sp,1292,0.952754582
Anaerococcus prevotii,1292,0.745390349
Peptoniphilus grossensis,1292,0.725774814
Sneathia sanguinegens,1292,0.532421678
Finegoldia magna,1292,0.353079639
Streptococcus agalactiae,1292,0.311046349
Prevotella sp,1292,0.26340862
Streptococcus salivarius,1292,0.17653982
Actinomyces hongkongensis,1292,0.165330942
Sutterella sp,1292,0.162528723
Porphyromonas uenonis,1292,0.12890209
Streptococcus pseudopneumoniae,1292,0.109286555
Veillonella atypica,1292,0.109286555
Prevotella buccalis,1292,0.103682116
Anaerococcus vaginalis,1292,0.100879897
Prevotella timonensis,1294,29.4200534
Sneathia vaginalis,1294,11.7546722
Gardnerella vaginalis,1294,10.88326906
Dialister sp,1294,9.010679324
Megasphaera lornae,1294,6.96010086
BVAB2,1294,6.30005933
Fannyhessea vaginae,1294,5.625185405
Prevotella disiens,1294,5.599228716
Porphyromonas uenonis,1294,4.405221003
Prevotella buccalis,1294,1.653811925
Eggerthella like,1294,1.223672501
Arcanobacterium haemolyticum,1294,1.112429546
Peptostreptococcus anaerobius,1294,1.060516167
Parvimonas micra,1294,0.915900326
Peptoniphilus lacrimalis,1294,0.774992584
Dialister micraerophilus,1294,0.648917235
Peptoniphilus grossensis,1294,0.493177099
Lactobacillus iners,1294,0.422723228
Sutterella wadsworthensis,1294,0.422723228
Prevotella bergensis,1294,0.39305844
Mobiluncus curtisii,1294,0.211361614
Prevotella bivia,1294,0.200237318
Anaerococcus prevotii,1294,0.192821121
Dialister propionicifaciens,1294,0.144615841
Gardnerella vaginalis,1296,40.5544726
Megasphaera lornae,1296,15.85445094
Fannyhessea vaginae,1296,11.98613818
Prevotella bivia,1296,7.83625731
Eggerthella like,1296,4.067576348
Lactobacillus iners,1296,2.85899935
Prevotella disiens,1296,2.759367555
Prevotella timonensis,1296,2.451808534
Dialister micraerophilus,1296,1.585445094
Porphyromonas sp,1296,1.347195148
Porphyromonas uenonis,1296,1.260558804
Peptoniphilus lacrimalis,1296,0.905349794
Peptoniphilus sp,1296,0.762399827
Aerococcus christensenii,1296,0.615118042
Ezakiella massiliensis,1296,0.563136236
Peptoniphilus grossensis,1296,0.550140784
Streptococcus anginosus,1296,0.550140784
Murdochiella vaginalis,1296,0.485163526
Anaerococcus prevotii,1296,0.450508989
Finegoldia magna,1296,0.346545376
Peptococcus sp,1296,0.329218107
Mobiluncus curtisii,1296,0.311890838
Atopobium minutum,1296,0.255577215
Prevotella colorans,1296,0.173272688
Peptostreptococcus anaerobius,1296,0.168940871
Dialister sp,1296,0.142949968
Dialister propionicifaciens,1296,0.13861815
Prevotella buccalis,1296,0.125622699
Gemella asaccharolytica,1296,0.10829543
Sutterella sp,1296,0.103963613
Gardnerella vaginalis,1299,30.87843446
Prevotella timonensis,1299,22.37365133
Fannyhessea vaginae,1299,10.56218058
BVAB2,1299,10.3612458
Sneathia vaginalis,1299,6.862359673
Eggerthella like,1299,3.878914952
Megasphaera lornae,1299,3.062071376
Sneathia sanguinegens,1299,2.765037348
Dialister sp,1299,1.463329402
Porphyromonas uenonis,1299,1.43275237
