Actinomyces hongkongensis,
Actinomyces ihumii,
Aerococcus christensenii,
Anaerococcus lactolyticus,
Anaerococcus mediterraneensis,
Anaerococcus prevotii/tetradius,Anaerococcus prevotii
Anaerococcus vaginalis,
Arcanobacterium,Arcanobacterium haemolyticum
Atopobium minutum,
Atopobium vaginae,Fannyhessea vaginae
Bacteroides faecis,
Bacteroides stercoris,
Bacteroides thetaiotaomicron,
Bifidobacterium dentium,
Bilophila wadsworthia,
Bulleidia,Bulleidia extructa
BVAB1 (species),Lachnocurva vaginae
BVAB2 (species),[Delete]
Campylobacter ureolyticus,
Candidate Division TM7 vaginal (genus),Candidatus TM7
Clostridium,Clostridium leptum
Dialister micraerophilus,
Dialister propionicifaciens,
Dialister sp. type 2,Dialister sp
Eggerthella sp. type 1 (species),Eggerthella like
Escherichia coli,
Eubacterium,Eubacterium sp
Ezakiella,Ezakiella massiliensis
Fenollaria,Fenollaria timonensis
Fenollaria massiliensis/timonensis,Fenollaria massiliensis
Finegoldia magna,
Fusobacterium nucleatum,
Gardnerella vaginalis,Gardnerella G3;Gardnerella leopoldii; Gardnerella piotii; Gardnerella swidsinskii; Gardnerella vaginalis
Gemella asaccharolytica,
Gemella haemolysans/sanguinis,Gemella haemolysans
Haemophilus haemolyticus,
Lactobacillus coleohominis,
Lactobacillus crispatus,
Lactobacillus iners,
Lactobacillus jensenii,
Lactobacillus reuteri/vaginalis,Lactobacillus reuteri
Lactobacillus vaginalis,
Lawsonella,Lawsonella clevelandensis
Mageeibacillus indolicus,
Megasphaera genomosp. type_1,Megasphaera lornae
Megasphaera micronuciformis,
Megasphaera sp. type 2,Megasphaera hutchinsoni
Mobiluncus,Mobiluncus holmesii
Mobiluncus curtisii,
Mobiluncus mulieris,
Murdochiella asaccharolytica/Levyella massiliensis,Murdochiella vaginalis
Mycoplasma hominis,
Oscillibacter ruminantium,
Parvimonas micra,
Peptococcus,[Delete]
Peptococcus niger,
Peptoniphilus,[Delete]
Peptoniphilus grossensis/harei,Peptoniphilus grossensis
Peptoniphilus koenoeneniae,[Delete]
Peptoniphilus lacrimalis,
Peptostreptococcus anaerobius,
Peptostreptococcus stomatis,
Porphyromonas,[Delete]
Porphyromonas endodontalis,
Porphyromonas sp. type 1,Porphyromonas sp
Porphyromonas uenonis,
Prevotella,Prevotella amnii
Prevotella amnii,
Prevotella bergensis,
Prevotella bivia,
Prevotella buccalis,
Prevotella colorans,
Prevotella disiens,
Prevotella genogroup 3,Prevotella buccalis
Prevotella genogroup 4,Prevotella bergensis
Prevotella intermedia,
Prevotella timonensis,
Sneathia amnii,Sneathia vaginalis
Sneathia sanguinegens,
Streptococcus agalactiae,
Streptococcus anginosus,
Streptococcus mitis/pneumoniae/pseudopneumoniae,Streptococcus mitis
Streptococcus pseudopneumoniae,
Streptococcus salivarius,
Sutterella,Sutterella sp
Sutterella wadsworthensis,
unclassified Bacteroidales,[Delete]
unclassified Lachnospiraceae,[Delete]
Ureaplasma parvum/urealyticum,Ureaplasma parvum
Veillonella atypica,
Veillonella montpellierensis,
